,Name,coef,pvalue,pcorr,FDR<0.05
1946,YOR250C,0.9523809523809523,0.00026040002438725295,0.0015924359422399095,True
1947,YOR253W,0.4666666666666666,0.20538635110581185,0.2227782412040379,False
1948,YPL180W,0.39285714285714285,0.38331687042697254,0.36587368345463633,False
1949,YPL184C,-0.25,0.5164895523012263,0.44900411594539696,False
1950,YDL004W,0.6166666666666666,0.07692880993776309,0.10575922324350849,False
1951,YPR040W,0.7666666666666667,0.01594401657897401,0.03216827781795387,True
1952,YPR020W,0.9166666666666666,0.0005066190663052084,0.0023706163143508495,True
1953,YLR093C,0.9761904761904762,3.314396026200146e-05,0.0003971564616665303,True
1954,YOL102C,0.0,1.0,0.6905957943925234,False
1955,YOR087W,0.48333333333333334,0.18746985521554207,0.21088630286814314,False
1956,YLR118C,0.13333333333333333,0.7323675052362975,0.5620152108010869,False
1957,YLL003W,0.2333333333333333,0.5456987782182727,0.4668449099040983,False
1958,YPR028W,0.8166666666666667,0.007224785246358786,0.017361511375548765,True
1959,YOL124C,0.6333333333333333,0.06708578689234565,0.09563769193266108,False
1960,YOR090C,0.18333333333333335,0.6368198117628943,0.5180587592527085,False
1961,YDL173W,0.11666666666666665,0.7650079429261462,0.5783049174690427,False
1962,YLR363W-A,0.6833333333333333,0.04244227208707231,0.06714473455202355,False
1963,YLR367W,0.9166666666666666,0.0005066190663052084,0.0023706163143508495,True
1964,YNR034W-A,0.9833333333333333,1.9361963037459243e-06,3.503823811100214e-05,True
1965,YDR487C,0.65,0.05807305801714863,0.0851858269152293,False
1966,YDR051C,0.26666666666666666,0.4879222748387009,0.43135880274810273,False
1967,YOR280C,0.6833333333333333,0.04244227208707231,0.06714473455202355,False
1968,YPR010C-A,0.35,0.35581957250178897,0.34388458902087066,False
1969,YBR085C-A,0.8833333333333333,0.0015905004234978686,0.005733075154577836,True
1970,YEL020W-A,0.9333333333333332,0.00023589981215941676,0.0014526268120629083,True
1971,YDR529C,0.7333333333333334,0.02455415007146968,0.04489232726211124,True
1972,YHR051W,0.8666666666666667,0.0024953982859902053,0.0075731497195079935,True
1973,YDL181W,0.19999999999999998,0.6059012741795533,0.5021194461185648,False
1974,YDR268W,-0.5333333333333333,0.13922686754397814,0.16762517871409913,False
1975,YOL039W,0.9500000000000001,8.762523965086177e-05,0.0007330140625416077,True
1976,YFR032C-A,0.8666666666666667,0.0024953982859902053,0.0075731497195079935,True
1977,YDL165W,0.0,1.0,0.6905957943925234,False
1978,YOR278W,-0.16666666666666666,0.6932388117283951,0.542792216626809,False
1979,YAL039C,0.39999999999999997,0.2861051019083129,0.28927770409310005,False
1980,YLR442C,-0.016666666666666666,0.9660548039946861,0.6721262817357301,False
1981,YOR065W,0.8833333333333333,0.0015905004234978686,0.005733075154577836,True
1982,YJL136C,0.9166666666666666,0.0005066190663052084,0.0023706163143508495,True
1983,YGL041W-A,0.7666666666666667,0.01594401657897401,0.03216827781795387,True
1984,YPR166C,0.9666666666666667,2.155031274835775e-05,0.00026914367706742996,True
1985,YAL025C,0.9,0.0009430623223403293,0.003827171339941549,True
1986,YCL029C,-0.23809523809523808,0.5701563208157683,0.48729818175938516,False
1987,YIL034C,0.41666666666666663,0.26458604674749614,0.27424320549640385,False
1988,YHR084W,0.5,0.17047066078705375,0.19580388171813506,False
1989,YPL132W,0.8571428571428571,0.006530017254715304,0.016662818849460227,True
1990,YKL045W,-0.8,0.1999999999999999,0.22140449438202234,False
1991,YPL218W,0.39999999999999997,0.2861051019083129,0.28927770409310005,False
1992,YER168C,0.4285714285714286,0.3965014577259474,0.3756279434850862,False
1993,YHR057C,0.6333333333333333,0.06708578689234565,0.09563769193266108,False
1994,YMR214W,0.1,0.8728885715695383,0.6300464946072436,False
1995,YCR036W,0.7,0.03576957497026169,0.05967596682127054,False
1996,YCR047C,0.08571428571428572,0.8717434402332361,0.6300464946072436,False
1997,YCR090C,-0.5499999999999999,0.12497678418833198,0.1527498814050981,False
